,Star_name,Constellation,Distance,Mass,Radius
21,SDSS J015141.69+124429.6,,70,0.044865636,0.09968011
26,2MASS J02103857-3015313,,101,0.01431882,0.15722739
27,2MASS J02340093-6442068,,155,0.01909176,0.16647606
30,LP 771-21,,53,0.074457864,1.08
31,2MASS J02511327+0047364,,,,
33,2MASS J02535980+3206373,,184,0.06204822,0.1952497
37,2MASS J03205965+1854233,,47,0.084003744,0.11817745
38,2MASS J03231002-4631237,,192,0.021955524,0.17058658
39,SDSS J032553.17+042540.1,,59,0.04295646,0.09762485
42,2MASS J03341218-4953322,,27,0.069684924,0.10687352
44,2MASP J0345432+254023,,88,0.070639512,0.10790115
46,2MASS J03510004-0052452,,48,0.097367976,0.13050901
52,2MASS J04351612-1606574,,34,0.0954588,0.12948138
53,2MASS J04362788-4114465,,142,0.037228932,0.20244311
55,2MASS J04414489+2301513,,470,0.018137172,
56,2MASS J04433764+0002040,,82,0.021000936,0.18291814
64,SDSS J053951.99-005902.0,,41.62,0.058229868,0.10379063
67,2MASS J06085283-2753583,,102,0.036274344,0.15517213
68,WISEP J061135.13-041024.0A,,69,0.06204822,
69,WISEP J061135.13-041024.0B,,69,0.050593164,
74,2MASS J07075327-4900503,,60,0.068730336,0.10584589
81,2MASS J07522390+1612157,,60,0.001918722,6.987884
87,LHS 2021,,55,0.084003744,0.11817745
91,2MASS J08533619-0329321,,27.6,0.073503276,0.10995641
97,2MASS J10073369-4555147,,46,0.042001872,0.09659722
100,SDSS J102109.69-030420.1,,95,,
108,TWA 28,,180,0.034365168,0.24560357
111,SDSS J111010.01+011613.1,,63,0.008591292,0.12742612
113,TWA 26,,137,0.02863764,0.2260786
114,2MASSW J1146345+223053,,89,,
117,TWA 27A,,,,
118,TWA 27B,,,,
119,2MASS J12074836-3900043,,217,0.016227996,0.17572473
121,2MASS J12255432-2739466,,43,,
125,TWA 29,,262,0.001909176,2.569075
129,2MASS J13204427+0409045,,101,0.063957396,0.10379063
132,2MASS J13595510-4034582,,51,0.060139044,0.102763
133,ULAS J141623.94+134836.3,,29.7,0.030546816,0.09865248
137,2MASS J14392837+1929150,,47,0.068730336,0.10584589
138,LSPM J1440+1339,,72,0.087822096,0.12228797
144,CFBDS J150411+102717,,71,0.042001872,0.09659722
147,TVLM 868-110639,,53,0.075412452,0.11098404
159,WISEPA J164715.59+563208.2,,28,0.039138108,0.09659722
161,2MASSI J1726000+153819,,114,0.022910112,0.1438682
162,2MASSW J1728114+394859,,79,,
163,SDSSp J175032.96+175903.9,,90,0.044865636,0.09968011
164,2MASS J18283572-4849046,,39,0.04295646,0.09762485
166,2MASSW J1841086+311727,,138,0.063957396,0.10379063
167,2MASS J18432213+4040209,,46,0.091640448,0.12537086
168,2MASS J20004841-7523070,,105,0.0238647,0.19319444
169,SDSS J204749.61-071818.3,,65,0.043911048,0.09865248
170,2MASSI J2057540-025230,,47,0.06682116,0.10481826
171,2MASSW J2101154+175658,,108,,
172,2MASSI J2104149-103736,,62,0.065866572,0.10481826
174,HB 2124-4228,,113,0.089731272,0.12434323
176,2MASS J21481628+4003593,,26.3,0.05250234,0.10173537
177,2MASS J14112131-2119503,,,,
178,2MASSW J2206450-421721,,93,0.021000936,0.13667479
179,2MASSW J2208136+292121,,154,0.025773876,0.14489583
180,2MASSW J2224438-015852,,38,0.058229868,0.10173537
182,2MASS J22373255+3922398,,64,0.069684924,0.10687352
183,2MASSW J2244316+204343,,56,0.011455056,0.13256427
184,2MASS J23224684-3133231,,56,0.022910112,0.14284057
185,2MASS J23225299-6151275,,148,0.016227996,0.16339317
186,2MASS J23515044-2537367,,67,0.084003744,0.11920508
187,2MASSI J2356547-155310,,74,0.07636704,0.11201167
6,2MASS J00275592+2219328,andromeda,46.9,,
188,WISE 0005+3737,andromeda,23.2,,
193,WISE 0038+2758,andromeda,36.9,,
197,WISE 0049+2151,andromeda,24.1,,
199,WISE 0123+4142,andromeda,67.2,,
202,WISE 0146+4234,andromeda,20.5,,
204,WISE 0150+3827,andromeda,61.3,,
206,WISE 0221+3842,andromeda,73.1,,
342,WISE 2335+4222,andromeda,90.3,,
95,2MASS 0939−2448,antlia,17.4,0.030546816,0.09762485
102,2MASSW J1036530-344138 [de],antlia,53,0.046774812,0.09968011
104,DEN 1048-3956,antlia,13.15,0.073503276,0.10995641
269,WISE 1042-3842,antlia,53.2,,
175,2MASS J21392676+0220226,aquarius,32.1,0.043911048,0.09865248
333,WISE 2237-0614,aquarius,53.5,,
339,WISE 2319-1844,aquarius,52.2,,
343,WISE 2340-0745,aquarius,37.8,,
347,WISE 2348-1028,aquarius,54.1,,
322,WISE 2014+0424,aquila,96.2,,
32,Teegarden's star,aries,12.578,0.07636704,0.13050901
205,WISE 0206+2640,aries,58.4,,
213,WISE 0307+2904,aries,82.8,,
66,LSR 0602+3910 [de],auriga,34.6,0.026728464,0.14489583
242,WISE 0614+3912,auriga,50.2,,
248,WISE 0656+4205,auriga,54.1,,
